continent,country,population,day,time,cases.new,cases.active,cases.critical,cases.recovered,cases.1M_pop,cases.total,deaths.new,deaths.1M_pop,deaths.total,tests.1M_pop,tests.total
South-America,Falkland-Islands,3539.0,2024-10-22,2024-10-22T13:45:26+00:00,,0.0,,1930.0,545352,1930,,,,2439107,8632.0
North-America,Montserrat,4965.0,2024-10-22,2024-10-22T13:45:26+00:00,,19.0,,1376.0,282578,1403,,1611,8.0,3577442,17762.0
,Diamond-Princess,,2024-10-22,2024-10-22T13:45:26+00:00,,0.0,,699.0,,712,,,13.0,,
Europe,Vatican-City,799.0,2024-10-22,2024-10-22T13:45:26+00:00,,0.0,,29.0,36295,29,,,,,
Africa,Western-Sahara,626161.0,2024-10-22,2024-10-22T13:45:26+00:00,,0.0,,9.0,16,10,,2,1.0,,
,MS-Zaandam,,2024-10-22,2024-10-22T13:45:26+00:00,,0.0,,7.0,,9,,,2.0,,
Asia,China,1448471400.0,2024-10-22,2024-10-22T13:45:26+00:00,,118977.0,,379053.0,347,503302,,4,5272.0,110461,160000000.0
Oceania,Tokelau,1378.0,2024-10-22,2024-10-22T13:45:26+00:00,,80.0,,,58055,80,,,,,
Oceania,Niue,1622.0,2024-10-22,2024-10-22T13:45:26+00:00,,3.0,,1056.0,652898,1059,,,,,
Africa,Saint-Helena,6115.0,2024-10-22,2024-10-22T13:45:25+00:00,,2164.0,,2.0,354211,2166,,,,,
Oceania,Nauru,10903.0,2024-10-22,2024-10-22T13:45:25+00:00,,45.0,,5347.0,494635,5393,,92,1.0,1881042,20509.0
Oceania,Wallis-and-Futuna,10982.0,2024-10-22,2024-10-22T13:45:25+00:00,,3104.0,,438.0,323256,3550,,728,8.0,1867419,20508.0
North-America,St-Barth,9945.0,2024-10-22,2024-10-22T13:45:25+00:00,,,,,553746,5507,,603,6.0,7908095,78646.0
North-America,Saint-Kitts-and-Nevis,53871.0,2024-10-22,2024-10-22T13:45:25+00:00,,0.0,,6559.0,122645,6607,,891,48.0,2356704,126958.0
Oceania,Kiribati,123419.0,2024-10-22,2024-10-22T13:45:25+00:00,,2358.0,3.0,2703.0,41201,5085,,194,24.0,,
North-America,Turks-and-Caicos,39741.0,2024-10-22,2024-10-22T13:45:25+00:00,,3.0,4.0,6709.0,169900,6752,,1007,40.0,15520193,616788.0
Oceania,Palau,18233.0,2024-10-22,2024-10-22T13:45:25+00:00,,4.0,,6276.0,344979,6290,,548,10.0,3917841,71434.0
North-America,Anguilla,15230.0,2024-10-22,2024-10-22T13:45:25+00:00,,,,,256336,3904,,788,12.0,3373736,51382.0
North-America,Saint-Pierre-Miquelon,5759.0,2024-10-22,2024-10-22T13:45:25+00:00,,1001.0,,2449.0,599410,3452,,347,2.0,4410488,25400.0
Oceania,Tuvalu,12066.0,2024-10-22,2024-10-22T13:45:25+00:00,,,,,243909,2943,,83,1.0,,
Africa,Niger,26083660.0,2024-10-22,2024-10-22T13:45:24+00:00,,729.0,1.0,8890.0,381,9931,,12,312.0,9759,254538.0
Africa,Liberia,5305117.0,2024-10-22,2024-10-22T13:45:24+00:00,,12.0,2.0,7783.0,1525,8090,,56,295.0,26356,139824.0
Africa,Comoros,907419.0,2024-10-22,2024-10-22T13:45:24+00:00,,9.0,,8939.0,10038,9109,,177,161.0,,
Africa,Guinea-Bissau,2063367.0,2024-10-22,2024-10-22T13:45:24+00:00,,508.0,6.0,8929.0,4659,9614,,86,177.0,70385,145231.0
Africa,Chad,17413580.0,2024-10-22,2024-10-22T13:45:24+00:00,,2633.0,,4874.0,442,7701,,11,194.0,10988,191341.0
North-America,St-Vincent-Grenadines,111551.0,2024-10-22,2024-10-22T13:45:24+00:00,,57.0,,9493.0,86723,9674,,1112,124.0,1023720,114197.0
North-America,Antigua-and-Barbuda,99509.0,2024-10-22,2024-10-22T13:45:24+00:00,,6.0,,8954.0,91509,9106,,1467,146.0,189943,18901.0
Africa,Sierra-Leone,8306436.0,2024-10-22,2024-10-22T13:45:24+00:00,,,,,937,7779,,15,126.0,31296,259958.0
North-America,British-Virgin-Islands,30596.0,2024-10-22,2024-10-22T13:45:24+00:00,,,,,241600,7392,,2092,64.0,3508269,107339.0
Oceania,Cook-Islands,17571.0,2024-10-22,2024-10-22T13:45:24+00:00,,51.0,,7150.0,409937,7203,,114,2.0,1120596,19690.0
Africa,Sao-Tome-and-Principe,227679.0,2024-10-22,2024-10-22T13:45:24+00:00,,13.0,,6685.0,29770,6778,,351,80.0,130008,29600.0
Africa,Djibouti,1016097.0,2024-10-22,2024-10-22T13:45:23+00:00,,74.0,,15427.0,15441,15690,,186,189.0,301094,305941.0
North-America,Greenland,56973.0,2024-10-22,2024-10-22T13:45:23+00:00,,9189.0,4.0,2761.0,210117,11971,,369,21.0,2894810,164926.0
Africa,Eritrea,3662244.0,2024-10-22,2024-10-22T13:45:23+00:00,,0.0,,10086.0,2782,10189,,28,103.0,6470,23693.0
North-America,Caribbean-Netherlands,26647.0,2024-10-22,2024-10-22T13:45:23+00:00,+3,1168.0,,10476.0,438398,11682,,1426,38.0,1130559,30126.0
Africa,Gambia,2558482.0,2024-10-22,2024-10-22T13:45:23+00:00,+28,65.0,,12189.0,4935,12626,,145,372.0,60851,155686.0
Oceania,Vanuatu,321832.0,2024-10-22,2024-10-22T13:45:23+00:00,,29.0,,11976.0,37346,12019,,44,14.0,77606,24976.0
North-America,Sint-Maarten,43966.0,2024-10-22,2024-10-22T13:45:23+00:00,,54.0,,10905.0,251353,11051,,2093,92.0,1411454,62056.0
Oceania,Marshall-Islands,60057.0,2024-10-22,2024-10-22T13:45:23+00:00,,0.0,,16121.0,268711,16138,,283,17.0,,
North-America,Dominica,72344.0,2024-10-22,2024-10-22T13:45:23+00:00,,0.0,,15964.0,221691,16038,,1023,74.0,3170187,229344.0
Africa,CAR,5016678.0,2024-10-22,2024-10-22T13:45:23+00:00,,127.0,2.0,15200.0,3078,15440,,23,113.0,16205,81294.0
North-America,Saint-Martin,39730.0,2024-10-22,2024-10-22T13:45:23+00:00,,,,,310194,12324,,1586,63.0,2828643,112382.0
Asia,Yemen,31154867.0,2024-10-22,2024-10-22T13:45:23+00:00,,662.0,,9124.0,383,11945,,69,2159.0,10579,329592.0
North-America,Nicaragua,6779100.0,2024-10-22,2024-10-22T13:45:22+00:00,,14041.0,,4225.0,2728,18491,,33,225.0,,
Asia,Tajikistan,9957464.0,2024-10-22,2024-10-22T13:45:22+00:00,,397.0,,17264.0,1786,17786,,13,125.0,,
